Model,MSO4102B-L
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1
Horizontal Delay,0
Sample Interval,0.0001
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,-3.02
,
,
,
Label,
TIME,CH1
-4.943500e+00,0.0612
-4.943400e+00,0.0612
-4.943300e+00,0.0604
-4.943200e+00,0.0604
-4.943100e+00,0.062
-4.943000e+00,0.0612
-4.942900e+00,0.0604
-4.942800e+00,0.0604
-4.942700e+00,0.0604
-4.942600e+00,0.0604
-4.942500e+00,0.0612
-4.942400e+00,0.0604
-4.942300e+00,0.0604
-4.942200e+00,0.0604
-4.942100e+00,0.0604
-4.942000e+00,0.0604
-4.941900e+00,0.0604
-4.941800e+00,0.0604
-4.941700e+00,0.0604
-4.941600e+00,0.0604
-4.941500e+00,0.0604
-4.941400e+00,0.0596
-4.941300e+00,0.062
-4.941200e+00,0.0596
-4.941100e+00,0.0596
-4.941000e+00,0.0604
-4.940900e+00,0.0604
-4.940800e+00,0.0612
-4.940700e+00,0.0596
-4.940600e+00,0.0612
-4.940500e+00,0.0612
-4.940400e+00,0.0604
-4.940300e+00,0.0604
-4.940200e+00,0.0612
-4.940100e+00,0.0604
-4.940000e+00,0.0596
-4.939900e+00,0.0604
-4.939800e+00,0.0596
-4.939700e+00,0.0604
-4.939600e+00,0.0604
-4.939500e+00,0.0596
-4.939400e+00,0.0604
-4.939300e+00,0.0604
-4.939200e+00,0.0604
-4.939100e+00,0.0596
-4.939000e+00,0.0604
-4.938900e+00,0.0596
-4.938800e+00,0.0604
-4.938700e+00,0.0612
-4.938600e+00,0.0604
-4.938500e+00,0.0596
-4.938400e+00,0.0604
-4.938300e+00,0.0612
-4.938200e+00,0.0612
-4.938100e+00,0.0596
-4.938000e+00,0.0604
-4.937900e+00,0.0596
-4.937800e+00,0.0596
-4.937700e+00,0.0604
-4.937600e+00,0.0596
-4.937500e+00,0.0612
-4.937400e+00,0.0604
-4.937300e+00,0.0596
-4.937200e+00,0.0604
-4.937100e+00,0.0596
-4.937000e+00,0.0604
-4.936900e+00,0.0604
-4.936800e+00,0.0604
-4.936700e+00,0.0612
-4.936600e+00,0.0604
-4.936500e+00,0.0604
-4.936400e+00,0.0612
-4.936300e+00,0.0596
-4.936200e+00,0.0612
-4.936100e+00,0.0604
-4.936000e+00,0.0604
-4.935900e+00,0.0604
-4.935800e+00,0.0596
-4.935700e+00,0.0604
-4.935600e+00,0.0604
-4.935500e+00,0.0596
-4.935400e+00,0.0604
-4.935300e+00,0.0588
-4.935200e+00,0.0596
-4.935100e+00,0.0604
-4.935000e+00,0.0604
-4.934900e+00,0.0588
-4.934800e+00,0.0612
-4.934700e+00,0.0604
-4.934600e+00,0.0604
-4.934500e+00,0.0596
-4.934400e+00,0.0596
-4.934300e+00,0.0604
-4.934200e+00,0.0604
-4.934100e+00,0.0596
-4.934000e+00,0.0596
-4.933900e+00,0.0596
-4.933800e+00,0.0596
-4.933700e+00,0.0588
-4.933600e+00,0.0588
-4.933500e+00,0.0604
-4.933400e+00,0.0588
-4.933300e+00,0.0588
-4.933200e+00,0.0596
-4.933100e+00,0.0596
-4.933000e+00,0.0588
-4.932900e+00,0.058
-4.932800e+00,0.0596
-4.932700e+00,0.0588
-4.932600e+00,0.0596
-4.932500e+00,0.0596
-4.932400e+00,0.0596
-4.932300e+00,0.0588
-4.932200e+00,0.0596
-4.932100e+00,0.0596
-4.932000e+00,0.0588
-4.931900e+00,0.0596
-4.931800e+00,0.0596
-4.931700e+00,0.0588
-4.931600e+00,0.0596
-4.931500e+00,0.0588
-4.931400e+00,0.0588
-4.931300e+00,0.058
-4.931200e+00,0.0596
-4.931100e+00,0.0588
-4.931000e+00,0.0596
-4.930900e+00,0.0588
-4.930800e+00,0.0596
-4.930700e+00,0.0588
-4.930600e+00,0.0596
-4.930500e+00,0.0588
-4.930400e+00,0.0596
-4.930300e+00,0.0588
-4.930200e+00,0.0596
-4.930100e+00,0.0596
-4.930000e+00,0.0588
-4.929900e+00,0.0604
-4.929800e+00,0.0596
-4.929700e+00,0.0588
-4.929600e+00,0.0588
-4.929500e+00,0.0596
-4.929400e+00,0.0596
-4.929300e+00,0.0596
-4.929200e+00,0.0596
-4.929100e+00,0.0596
-4.929000e+00,0.0596
-4.928900e+00,0.058
-4.928800e+00,0.0596
-4.928700e+00,0.0588
-4.928600e+00,0.058
-4.928500e+00,0.0604
-4.928400e+00,0.0588
-4.928300e+00,0.0596
-4.928200e+00,0.0596
-4.928100e+00,0.0588
-4.928000e+00,0.0596
-4.927900e+00,0.0596
-4.927800e+00,0.0604
-4.927700e+00,0.058
-4.927600e+00,0.0588
-4.927500e+00,0.0588
-4.927400e+00,0.058
-4.927300e+00,0.0604
-4.927200e+00,0.0588
-4.927100e+00,0.058
-4.927000e+00,0.0596
-4.926900e+00,0.0596
-4.926800e+00,0.0596
-4.926700e+00,0.0596
-4.926600e+00,0.0596
-4.926500e+00,0.058
-4.926400e+00,0.0596
-4.926300e+00,0.0588
-4.926200e+00,0.0596
-4.926100e+00,0.0572
-4.926000e+00,0.0604
-4.925900e+00,0.0604
-4.925800e+00,0.0596
-4.925700e+00,0.0596
-4.925600e+00,0.0588
-4.925500e+00,0.0588
-4.925400e+00,0.0596
-4.925300e+00,0.0596
-4.925200e+00,0.058
-4.925100e+00,0.0596
